trials	endpoint_feedback	online_feedback	aim_report	aim_ring	rotation	instruction	target_angle	target_distance	size	aim_at_targ
476	1	1	0	0	-1.75	0	330	80	4	1
477	1	1	0	0	-1.75	0	210	80	24	1
478	1	1	0	0	-1.75	0	330	80	24	1
479	1	1	0	0	-1.75	0	90	80	4	1
480	1	1	0	0	-1.75	0	210	80	24	1
481	1	1	0	0	-1.75	0	90	80	4	1
482	1	1	0	0	-1.75	0	330	80	4	1
483	1	1	0	0	-1.75	0	210	80	24	1
484	1	1	0	0	-1.75	0	90	80	4	1
485	1	1	0	0	-1.75	0	330	80	4	1
486	1	1	0	0	-1.75	0	90	80	4	1
487	1	1	0	0	-1.75	0	330	80	24	1
488	1	1	0	0	-1.75	0	210	80	24	1
489	1	1	0	0	-1.75	0	90	80	4	1
490	1	1	0	0	-1.75	0	330	80	24	1
491	1	1	0	0	-1.75	0	210	80	24	1
492	1	1	0	0	-1.75	0	90	80	4	1
493	1	1	0	0	-1.75	0	330	80	4	1
494	1	1	0	0	-1.75	0	210	80	24	1
495	1	1	0	0	-1.75	0	90	80	4	1
496	1	1	0	0	-1.75	0	330	80	4	1
497	1	1	0	0	-1.75	0	210	80	24	1
498	1	1	0	0	-1.75	0	90	80	4	1
499	1	1	0	0	-1.75	0	210	80	24	1
500	1	1	0	0	-1.75	0	330	80	24	1
501	1	1	0	0	-1.75	0	330	80	24	1
502	1	1	0	0	-1.75	0	210	80	24	1
503	1	1	0	0	-1.75	0	90	80	4	1
504	1	1	0	0	-1.75	0	330	80	4	1
505	1	1	0	0	-1.75	0	210	80	24	1
506	1	1	0	0	-1.75	0	90	80	4	1
507	1	1	0	0	-1.75	0	330	80	4	1
508	1	1	0	0	-1.75	0	210	80	24	1
509	1	1	0	0	-1.75	0	90	80	4	1
510	1	1	0	0	-1.75	0	90	80	4	1
511	1	1	0	0	-1.75	0	330	80	24	1
512	1	1	0	0	-1.75	0	210	80	24	1
513	1	1	0	0	-1.75	0	90	80	4	1
514	1	1	0	0	-1.75	0	210	80	24	1
515	1	1	0	0	-1.75	0	330	80	4	1
516	1	1	0	0	-1.75	0	90	80	4	1
517	1	1	0	0	-1.75	0	330	80	24	1
518	1	1	0	0	-1.75	0	210	80	24	1
519	1	1	0	0	-1.75	0	210	80	24	1
520	1	1	0	0	-1.75	0	90	80	4	1
521	1	1	0	0	-1.75	0	330	80	24	1
522	1	1	0	0	-1.75	0	330	80	4	1
523	1	1	0	0	-1.75	0	90	80	4	1
524	1	1	0	0	-1.75	0	210	80	24	1
525	1	1	0	0	-1.75	0	210	80	24	1
526	1	1	0	0	-1.75	0	90	80	4	1
527	1	1	0	0	-1.75	0	330	80	24	1
528	1	1	0	0	-1.75	0	90	80	4	1
529	1	1	0	0	-1.75	0	330	80	4	1
530	1	1	0	0	-1.75	0	210	80	24	1
531	1	1	0	0	-1.75	0	90	80	4	1
